Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Movement","Movement|Slide","SlideDurationTrimSeconds","Duration Trim (s, off the scaled length)","0.6","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds taken off the SHIPPED slide, AFTER SlideMaxLengthScale. The accumulator for every ""make the slide shorter"" request, and the single knob that also moves the slide-jump window. spec v24 §8: ""shorten the duration of the slide by .4seconds as well"" -> 0.4 spec v25 §6: ""decrease slide duration by .2seconds"" -> 0.6 shipped duration = SlideDuration x SlideMaxLengthScale - this = 1.80 x 0.70 - 0.60 = 0.66 s (v24 ... [allowed range: 0.0 to 3.0]"
"Movement","Movement|Slide","SlideDeceleration","Deceleration (uu/s per s)","260","uu/s per s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","uu/s bled off the slide every second. THIS IS THE MOMENTUM DIAL - lower preserves more. At 260 a 1.8s slide sheds ~470uu/s in total, so a slide entered at ~1100 still exits above walking pace. The old 750 stripped 750uu/s and ended most slides early on the exit-speed check, which is what made the slide feel like a brake. Sane range 150 to 500; 0 is a frictionless rail. [allowed range: 0.0 to 4000.0]"
"Movement","Movement|Slide","SlideExitSpeedFraction","Exit Speed (fraction of Walk Speed)","0.5","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of WalkSpeed at which a decaying slide gives up and hands the player back. Raise it and slides end early; lower it and a slide runs until SlideDuration expires. Sane range 0.4 to 0.8. [allowed range: 0.0 to 2.0]"
"Movement","Movement|Slide","SlideTurnRateDegrees","Turn Rate (deg/s)","130","deg/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Degrees per second a slide may be steered. 0 = a slide is a rail. Sane range 90 to 180. [allowed range: 0.0 to 720.0]"
"Movement","Movement|Slide","SlideCooldownSeconds","Cooldown (s, gap after a slide ends)","0.8","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The gap BETWEEN slides, in seconds. Spec v3 §2.3: ""add a .8second buffer between slides"". MEASURED FROM THE SLIDE'S END, and that is a change. The old SlideCooldown was measured from the slide's START, so ""the buffer between slides"" was a number you had to compute (cooldown minus duration) rather than one you could read - and a value below SlideDuration meant no cooldown at all, which is a trap. This is the number ... [allowed range: 0.0 to 20.0]"
"Movement","Movement|Slide","SlideInputBufferSeconds","Input Buffer (s)","0.25","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How long a crouch press that could not slide yet (mid-dash, or airborne) stays queued. This is what makes ""dash, then slide out of it"" and ""press crouch just before you land"" work. Only a fresh PRESS charges it, so holding the key can never chain slides. Sane range 0.15 to 0.35; much above that and the slide fires long after the player stopped asking for it. [allowed range: 0.0 to 1.0]"
"Movement","Movement|Slide","SlideExitSpeedRetention","Exit Speed Retention (fraction of slide speed)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the slide's LIVE speed carried into normal movement on exit. 1 = all of it. This is the ""preserve momentum"" contract: the old exit only ever clamped DOWN, so a slide handed the player back below walking pace and made them re-accelerate. Sane range 0.8 to 1.0. [allowed range: 0.0 to 1.5]"
"Movement","Movement|Slide","SlideExitMaxSpeedMultiplier","Exit Ceiling (multiple of Max Speed)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Ceiling on the exit speed as a multiple of max speed. The old warning here - ""above 1, overspeed is kept for as long as a movement key is held, and slide-cancel spam becomes the fastest way to cross the arena"" - described the pre-spec-v3 CalcVelocity, whose input branch clamped to the current speed and so could HOLD overspeed indefinitely. That branch is gone. The ground overspeed bleed replaces it and always bleeds ... [allowed range: 1.0 to 3.0]"
"Movement","Movement|Slide Jump","bSlideJumpEnabled","Slide Jump Enabled","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Master switch for the slide-jump. OFF makes a jump out of a slide behave like any other jump. Exists so the move can be A/B'd against its absence from one binary, which matters here: the slide has just lost its flat boost, and whether sliding ""does something"" now is exactly the question this mechanic is answering."
"Movement","Movement|Slide Jump","SlideJumpHorizontalRetention","Horizontal Retention (fraction of slide speed)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the slide's live horizontal speed carried into the jump. 1.0 = all of it. THE HEADLINE KNOB. At 1.0 a slide-jump is a pure momentum-preserving launch and the slide becomes a way to convert a fast approach into distance; below ~0.85 the move stops being worth the setup and players will simply jump. Above 1.0 it is a boost - which is exactly what spec v4 §1 ruled out for the slide itself, so raise it only ... [allowed range: 0.0 to 2.0]"
"Movement","Movement|Slide Jump","SlideJumpZMultiplier","Vertical Multiplier (x normal jump)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Multiplier on the pawn's normal jump velocity when the jump comes out of a slide. Kept at 1.0 by default and deliberately so: in Apex the slide-hop's value is DISTANCE, not height, and a taller jump mostly buys hang time during which you cannot dash, cannot turn hard and are an easy target. Lower it toward 0.85 for a flatter, faster-feeling launch; raise it if playtesting wants the move to clear the arena's cover. [allowed range: 0.0 to 3.0]"
"Movement","Movement|Slide Jump","SlideJumpWindowSeconds","Timing Window (s before slide end)","0.2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds before a slide would END during which the jump counts as well timed. 0 = no window, every slide-jump is worth the same. This is the ""reward good timing"" half of the request. A window measured from the slide's END rather than its start is what makes it readable: the player can see and feel the slide running out, so the input has something to be timed AGAINST. Timing it against the start would just mean ""press ... [allowed range: 0.0 to 2.0]"
"Movement","Movement|Slide Jump","SlideJumpWindowSpeedBonus","Well-Timed Speed Bonus BASE (x, x bonus scale)","1.3125","x","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Extra horizontal speed multiplier for a slide-jump taken inside the timing window above. 1.10 -> 1.25 (spec v5 §3) -> 1.3125 THIS PASS (spec v8 §8). v8 §8 verbatim: ""Increase momentum from slide jump by 5%"". [ASSUMPTION] read as 1.25 x 1.05 = 1.3125 - a 5% increase OF the bonus, since ""momentum from slide jump"" names the thing the multiplier produces. THE ALTERNATIVE READING IS 1.25 + 0.05 = 1.30, five percentage ... [allowed range: 1.0 to 2.0]"
"Movement","Movement|Slide Jump","SlideJumpBonusScale","Well-Timed Bonus Scale (v9 §7, x)","1.5","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v9 §7 - ""Increase the bonus of timing a slide jump right by 30%."" x1.30, and this plus the switch below is the whole change. Applied to SlideJumpWindowSpeedBonus by UTraceCharacterMovementComponent::GetSlideJumpWindowSpeedBonus(), bound BY NAME as ""SlideJumpBonusScale"" and clamped there to 0.1..4. *** SPEC v28 §5 - 1.43 -> 1.50. *** Verbatim: ""change well timed bonus scale to 1.5"". This is the knob that carries ... [allowed range: 0.1 to 4.0]"
"Movement","Movement|Slide Jump","bSlideJumpBonusScalesGainOnly","Bonus Scale Applies To The Gain Only (v9 §7 reading)","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","WHICH READING OF §7 IS SHIPPED. The spec asks for both to be flagged and for the choice to be one number; it is this bool. TRUE (shipped, and the spec's [ASSUMPTION]): ""the bonus"" is the part ABOVE 1.0 - the thing the timing actually buys. 1 + (1.3125 - 1) x 1.30 = 1.40625. A well-timed hop at 1900 uu/s carries 2672 uu/s instead of 2494 uu/s. FALSE (the alternative): ""the bonus"" is the whole multiplier. 1.3125 x ..."
"Movement","Movement|Slide Jump","SlideJumpWindowZBonus","Well-Timed Height Bonus (x normal jump)","1.12","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Extra JUMP HEIGHT multiplier for a slide-jump taken inside the timing window. New in spec v5 §3, and the other half of ""increase the multiplier gained by perfectly timing a jump"". Height is the channel a player can actually SEE. 25% more planar speed is deniable - it looks like a good jump - whereas clearing a box you could not clear a second ago is unambiguous feedback that the timing landed. That legibility is the ... [allowed range: 1.0 to 2.0]"
"Movement","Movement|Slide Jump","SlideJumpMomentumScale","Momentum Boost Scale (v26 §3, x the GAIN)","0.8","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v26 §3a - ""Reduce slide jump momentum boost by 20%."" x0.80 ON THE GAIN. *** RELATIVE, NOT REWRITTEN, AND THAT IS THE WHOLE POINT OF IT BEING A SEPARATE NUMBER. *** The obvious edit was to retype SlideJumpWindowSpeedBonus from 1.3125 to something 20% smaller, or SlideJumpBonusScale from 1.43 to 1.144. Both would have baked v26's cut into a number that belongs to a different decision (v8 §8's base, v9 §7's +30% ... [allowed range: 0.0 to 2.0]"
"Movement","Movement|Slide Jump","bSlideJumpChainCapEnabled","Chain Ceiling Enabled (v26 §3)","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","SPEC v26 §3b - the master switch for the chain ceiling. OFF restores the uncapped compounding. Exists for the same reason bSlideJumpEnabled does: ""is chaining still a traversal exploit"" has to be answerable from one binary without a rebuild. It is ALSO the designer-facing half of the A/B arm - the dev-only console arm is Trace.V26LegacySlideJump, which reverts the -20% as well, whereas this reverts the ceiling alone."
"Movement","Movement|Slide Jump","SlideJumpChainCapBoosts","Chain Ceiling (consecutive boosts before the cap)","3","count","int32","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","*** THE KNOB THE NOTE ASKS FOR. *** ""For now, lets cap it at what the momentum is after you do two consecutive slide boosts."" This is the TWO. HOW IT IS SPENT. A CHAIN is a run of slide-jumps taken without ever giving the momentum back (see the reset multiplier below for what ""giving it back"" means). The component watches the launch speed of the chain's first N boosts, keeps the highest, and every boost after that ... [allowed range: 1 to 8]"
"Movement","Movement|Slide Jump","SlideJumpChainResetSpeedMultiplier","Chain Reset Speed (x the pawn's max ground speed)","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","When a chain ENDS, as a multiple of the pawn's own live max ground speed. *** RELATIVE TO A BASE THAT MOVES. *** Not ""reset below 800 uu/s"". The pawn's ground speed ceiling is WalkSpeed folded through CarrierSpeedMultiplier (1.22), the knife profile (1.30) and every ability speed passive, so a carrier's baseline is 976 and a knife-carrier's is higher still. Written as a multiple, this threshold follows every one of ... [allowed range: 0.0 to 3.0]"
